run_index,scenario,condition,seed,assignment_round,duration_seconds,warmup_seconds,max_model_decisions,max_model_decisions_per_agent,decision_window_seconds,max_model_decisions_per_window,model_decision_sample_rate,evolving_state_enabled,evolving_state_interval_seconds
77,high_load_high_acuity,baseline,2,5,43200,7200,300,100,7200,100,0.1,True,7200
78,high_load_high_acuity,cockpit_only,2,5,43200,7200,300,100,7200,100,0.1,True,7200
79,high_load_high_acuity,nursta_only,2,5,43200,7200,300,100,7200,100,0.1,True,7200
80,high_load_high_acuity,both,2,5,43200,7200,300,100,7200,100,0.1,True,7200
81,normal_load,baseline,3,1,43200,7200,300,100,7200,100,0.1,True,7200
82,normal_load,cockpit_only,3,1,43200,7200,300,100,7200,100,0.1,True,7200
83,normal_load,nursta_only,3,1,43200,7200,300,100,7200,100,0.1,True,7200
84,normal_load,both,3,1,43200,7200,300,100,7200,100,0.1,True,7200
85,high_load_high_acuity,baseline,3,1,43200,7200,300,100,7200,100,0.1,True,7200
86,high_load_high_acuity,cockpit_only,3,1,43200,7200,300,100,7200,100,0.1,True,7200
87,high_load_high_acuity,nursta_only,3,1,43200,7200,300,100,7200,100,0.1,True,7200
88,high_load_high_acuity,both,3,1,43200,7200,300,100,7200,100,0.1,True,7200
89,normal_load,baseline,3,2,43200,7200,300,100,7200,100,0.1,True,7200
90,normal_load,cockpit_only,3,2,43200,7200,300,100,7200,100,0.1,True,7200
91,normal_load,nursta_only,3,2,43200,7200,300,100,7200,100,0.1,True,7200
92,normal_load,both,3,2,43200,7200,300,100,7200,100,0.1,True,7200
93,high_load_high_acuity,baseline,3,2,43200,7200,300,100,7200,100,0.1,True,7200
94,high_load_high_acuity,cockpit_only,3,2,43200,7200,300,100,7200,100,0.1,True,7200
95,high_load_high_acuity,nursta_only,3,2,43200,7200,300,100,7200,100,0.1,True,7200
96,high_load_high_acuity,both,3,2,43200,7200,300,100,7200,100,0.1,True,7200
97,normal_load,baseline,3,3,43200,7200,300,100,7200,100,0.1,True,7200
98,normal_load,cockpit_only,3,3,43200,7200,300,100,7200,100,0.1,True,7200
99,normal_load,nursta_only,3,3,43200,7200,300,100,7200,100,0.1,True,7200
100,normal_load,both,3,3,43200,7200,300,100,7200,100,0.1,True,7200
101,high_load_high_acuity,baseline,3,3,43200,7200,300,100,7200,100,0.1,True,7200
102,high_load_high_acuity,cockpit_only,3,3,43200,7200,300,100,7200,100,0.1,True,7200
103,high_load_high_acuity,nursta_only,3,3,43200,7200,300,100,7200,100,0.1,True,7200
104,high_load_high_acuity,both,3,3,43200,7200,300,100,7200,100,0.1,True,7200
105,normal_load,baseline,3,4,43200,7200,300,100,7200,100,0.1,True,7200
106,normal_load,cockpit_only,3,4,43200,7200,300,100,7200,100,0.1,True,7200
107,normal_load,nursta_only,3,4,43200,7200,300,100,7200,100,0.1,True,7200
108,normal_load,both,3,4,43200,7200,300,100,7200,100,0.1,True,7200
109,high_load_high_acuity,baseline,3,4,43200,7200,300,100,7200,100,0.1,True,7200
110,high_load_high_acuity,cockpit_only,3,4,43200,7200,300,100,7200,100,0.1,True,7200
111,high_load_high_acuity,nursta_only,3,4,43200,7200,300,100,7200,100,0.1,True,7200
112,high_load_high_acuity,both,3,4,43200,7200,300,100,7200,100,0.1,True,7200
113,normal_load,baseline,3,5,43200,7200,300,100,7200,100,0.1,True,7200
114,normal_load,cockpit_only,3,5,43200,7200,300,100,7200,100,0.1,True,7200
115,normal_load,nursta_only,3,5,43200,7200,300,100,7200,100,0.1,True,7200
116,normal_load,both,3,5,43200,7200,300,100,7200,100,0.1,True,7200
117,high_load_high_acuity,baseline,3,5,43200,7200,300,100,7200,100,0.1,True,7200
118,high_load_high_acuity,cockpit_only,3,5,43200,7200,300,100,7200,100,0.1,True,7200
119,high_load_high_acuity,nursta_only,3,5,43200,7200,300,100,7200,100,0.1,True,7200
120,high_load_high_acuity,both,3,5,43200,7200,300,100,7200,100,0.1,True,7200
121,normal_load,baseline,4,1,43200,7200,300,100,7200,100,0.1,True,7200
122,normal_load,cockpit_only,4,1,43200,7200,300,100,7200,100,0.1,True,7200
123,normal_load,nursta_only,4,1,43200,7200,300,100,7200,100,0.1,True,7200
124,normal_load,both,4,1,43200,7200,300,100,7200,100,0.1,True,7200
125,high_load_high_acuity,baseline,4,1,43200,7200,300,100,7200,100,0.1,True,7200
126,high_load_high_acuity,cockpit_only,4,1,43200,7200,300,100,7200,100,0.1,True,7200
127,high_load_high_acuity,nursta_only,4,1,43200,7200,300,100,7200,100,0.1,True,7200
128,high_load_high_acuity,both,4,1,43200,7200,300,100,7200,100,0.1,True,7200
129,normal_load,baseline,4,2,43200,7200,300,100,7200,100,0.1,True,7200
130,normal_load,cockpit_only,4,2,43200,7200,300,100,7200,100,0.1,True,7200
131,normal_load,nursta_only,4,2,43200,7200,300,100,7200,100,0.1,True,7200
132,normal_load,both,4,2,43200,7200,300,100,7200,100,0.1,True,7200
133,high_load_high_acuity,baseline,4,2,43200,7200,300,100,7200,100,0.1,True,7200
134,high_load_high_acuity,cockpit_only,4,2,43200,7200,300,100,7200,100,0.1,True,7200
135,high_load_high_acuity,nursta_only,4,2,43200,7200,300,100,7200,100,0.1,True,7200
136,high_load_high_acuity,both,4,2,43200,7200,300,100,7200,100,0.1,True,7200
137,normal_load,baseline,4,3,43200,7200,300,100,7200,100,0.1,True,7200
138,normal_load,cockpit_only,4,3,43200,7200,300,100,7200,100,0.1,True,7200
139,normal_load,nursta_only,4,3,43200,7200,300,100,7200,100,0.1,True,7200
